대륙,국가별,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
아시아,한국,5.65,6.33,5.6,4.65,4,2.92,2.23,1.57,1.68,1.5,1.21,1.17,1.23,1.11
아시아,이스라엘,4.28,3.89,3.85,3.78,3.81,3.47,3.13,3.07,2.93,2.93,2.91,2.93,3.04,3.04
아시아,일본,2.96,2.17,2.03,2.04,2.13,1.83,1.76,1.65,1.48,1.37,1.3,1.34,1.41,1.37
아시아,터키,6.69,6.5,6.2,5.8,5.39,4.69,4.11,3.39,2.9,2.65,2.37,2.2,2.12,2.08
북아메리카,캐나다,3.65,3.88,3.68,2.61,1.98,1.73,1.63,1.62,1.69,1.56,1.52,1.64,1.6,1.53
북아메리카,멕시코,6.75,6.78,6.75,6.75,6.32,5.33,4.37,3.75,3.23,2.85,2.61,2.4,2.29,2.14
북아메리카,미국,3.31,3.58,3.23,2.54,2.03,1.77,1.8,1.91,2.03,2,2.04,2.06,1.88,1.78
남아메리카,칠레,4.85,4.75,4.58,4.08,3.47,2.94,2.63,2.6,2.52,2.2,1.95,1.9,1.85,1.65
남아메리카,콜롬비아,6.51,6.68,6.64,5.86,4.72,4.16,3.58,3.17,3.01,2.7,2.44,2.1,1.92,1.82
남아메리카,코스타리카,6.12,6.65,6.5,5.26,4.06,3.7,3.5,3.41,3.07,2.61,2.15,1.94,1.85,1.76
유럽,오스트리아,2.1,2.57,2.78,2.57,2.04,1.65,1.6,1.45,1.48,1.39,1.38,1.4,1.45,1.53
유럽,벨기에,2.37,2.5,2.65,2.39,2.01,1.7,1.6,1.56,1.61,1.6,1.68,1.82,1.78,1.71
유럽,체코,2.74,2.38,2.21,1.96,2.21,2.36,1.97,1.9,1.65,1.17,1.19,1.43,1.48,1.64
유럽,덴마크,2.55,2.55,2.58,2.27,1.96,1.68,1.43,1.54,1.75,1.76,1.76,1.85,1.73,1.76
유럽,에스토니아,2.06,1.99,1.94,2.02,2.15,2.06,2.09,2.2,1.63,1.33,1.39,1.66,1.59,1.59
유럽,핀란드,3,2.77,2.66,2.19,1.62,1.66,1.69,1.66,1.82,1.74,1.75,1.84,1.77,1.53
유럽,프랑스,2.76,2.7,2.85,2.65,2.31,1.86,1.86,1.8,1.71,1.76,1.88,1.98,1.98,1.85
유럽,독일,2.13,2.27,2.47,2.36,1.71,1.51,1.46,1.43,1.3,1.35,1.35,1.36,1.43,1.59
유럽,그리스,2.48,2.42,2.29,2.55,2.53,2.42,2.06,1.53,1.38,1.31,1.29,1.42,1.34,1.3
유럽,헝가리,2.69,2.32,1.81,1.98,2.04,2.25,1.81,1.82,1.74,1.38,1.3,1.33,1.33,1.49
유럽,아이슬란드,3.86,4.17,3.94,3.24,2.87,2.45,2.23,2.12,2.19,2.06,1.99,2.13,1.98,1.77
유럽,아일랜드,3.42,3.58,4.01,3.86,3.73,3.25,2.83,2.26,1.96,1.9,1.93,2,1.97,1.84
유럽,이탈리아,2.36,2.29,2.5,2.5,2.32,1.89,1.52,1.35,1.27,1.22,1.31,1.44,1.42,1.33
유럽,라트비아,2,1.95,1.88,1.84,2,1.89,2.03,2.16,1.63,1.17,1.29,1.49,1.5,1.72
유럽,리투아니아,2.84,2.66,2.43,2.3,2.3,2.1,2.04,2.06,1.82,1.47,1.28,1.42,1.59,1.67
유럽,룩셈부르크,1.98,2.23,2.4,2.19,1.72,1.49,1.47,1.47,1.66,1.72,1.65,1.62,1.55,1.45
유럽,네덜란드,3.05,3.1,3.17,2.79,2.1,1.6,1.51,1.55,1.59,1.6,1.74,1.75,1.73,1.66
유럽,노르웨이,2.6,2.84,2.9,2.8,2.35,1.81,1.69,1.8,1.89,1.86,1.81,1.92,1.82,1.68
유럽,폴란드,3.63,3.47,2.72,2.33,2.23,2.23,2.31,2.16,1.95,1.51,1.26,1.37,1.33,1.42
유럽,포르투갈,3.1,3.12,3.19,3.12,2.83,2.55,2.01,1.62,1.48,1.46,1.45,1.37,1.28,1.29
유럽,슬로바키아,3.5,3.24,2.91,2.54,2.51,2.46,2.27,2.15,1.87,1.4,1.22,1.32,1.38,1.5
유럽,슬로베니아,2.68,2.38,2.34,2.27,2.2,2.16,1.93,1.65,1.33,1.25,1.21,1.44,1.58,1.6
유럽,스페인,2.53,2.7,2.81,2.84,2.85,2.55,1.88,1.46,1.28,1.19,1.28,1.45,1.33,1.33
유럽,스웨덴,2.24,2.25,2.31,2.17,1.91,1.66,1.64,1.91,2.01,1.56,1.67,1.89,1.9,1.85
유럽,스위스,2.31,2.39,2.6,2.36,1.87,1.54,1.54,1.55,1.54,1.48,1.41,1.47,1.53,1.54
유럽,영국,2.18,2.49,2.81,2.57,2.01,1.73,1.78,1.84,1.78,1.74,1.66,1.86,1.87,1.75
오세아니아,오스트레일리아,3.18,3.41,3.27,2.87,2.54,1.99,1.91,1.86,1.86,1.79,1.77,1.95,1.89,1.83
오세아니아,뉴질랜드,3.69,4.07,3.85,3.35,2.84,2.18,1.97,2.03,2.07,1.95,1.95,2.14,2.04,1.9
